Sample Site ,Sample Date,pH (Unit),Alkalinity (mg/L CaCO3),Calcium (mg/L),Specific Conductance (S/cm), Temperature (F),ortho-Phosphate (mg/L),Lead (g/L),Copper (mg/L)
31750,08/04/2015,7.6,38.5,15.4,299,62,2.22,0,0.007
40350,09/02/2015,7.32,17.3,6.62,98,69,1.99,0,0.007
26850,07/07/2015,7.32,15.8,6.25,99,63,2.13,0,0.006
23450,08/04/2015,7.38,15.1,6.08,102,69,2.47,0,0.005
50750,08/04/2015,7.7,15.8,6.91,104,75,2.16,0,0.003
35750,07/07/2015,7.69,16.8,6.19,103,63,1.99,0,0.005
32350,11/04/2015,7.3,40.6,15.1,288,59,2.1,0,0.005
47550,10/07/2015,7.25,15.2,6.12,90,62,2.12,0,0.008
33050,12/01/2015,7.45,16.6,6.38,94,53,2.03,0,0.007
24350,11/04/2015,7.4,15.6,6.14,91,63,2.14,0,0.006
31950,07/07/2015,7.47,15.7,6.12,100,61,2.17,0,0.006
30150,07/07/2015,7.44,41.1,15.6,291,56,2.06,0,0.003
27350,09/02/2015,7.18,16.2,6.23,95,68,2.18,0,0.006
53550,09/02/2015,7.24,17.2,6.48,96,70,2.04,0,0.006
46250,06/07/2016,7.11,14.9,6.18,90,62,2.16,0,0.005
32350,02/02/2016,7.55,20,11.2,148,42,2.32,0,0.005
31950,01/05/2016,7.2,15.7,6.08,92,45,2.24,0,0.006
35750,04/05/2016,7.63,15.7,5.91,101,46,1.97,0,0.005
44450,05/02/2016,7.4,,,89,56,2.14,0,0.006
31050,01/05/2016,7.38,18.3,7,108,48,2.06,0,0.006
52050,02/02/2016,7.19,15,6.07,93,42,2.29,0,0.006
38250,02/02/2016,7.51,15.9,5.97,95,38,2.26,0,0.005
46250,03/01/2016,7.3,13.6,5.88,91,44,2.26,0,0.007
31050,04/05/2016,7.65,15.5,6.02,98,44,1.93,0,0.005
33450,02/02/2016,7.39,70.2,29.2,508,39,2.26,0,0.009
21550,01/05/2016,7.34,15.6,6.19,93,46,2.34,0,0.006
27350,06/07/2016,7.35,14.4,5.82,86,60,2.13,0,0.005
20150,06/07/2016,7.37,14.6,5.95,89,61,2.06,0,0.005
59050,03/01/2016,7.34,13.2,5.67,92,40,2.27,0,0.005
23450,05/03/2016,7.33,13.7,5.71,90,54,2.25,0,0.005
31850,02/02/2016,7.51,15.9,6.19,95,52,2.16,0,0.006
33050,03/01/2016,7.47,14.3,5.7,94,39,1.92,0,0.005
